id;start_date;end_date;language
1;2021-05-27T08:33:14;2021-05-27T06:23:29;ENGLISH
2;2021-05-26T18:00:49;2021-05-27T03:26:18;FRENCH
3;2021-05-27T03:57:01;2021-05-26T16:02:09;SPANISH
4;2021-05-27T08:27:50;2021-05-26T13:54:09;FRENCH
5;2021-05-27T10:44:13;2021-05-26T19:03:11;ENGLISH
6;2021-05-26T20:14:56;2021-05-27T10:15:16;SPANISH
7;2021-05-27T04:18:44;2021-05-26T14:52:53;FRENCH
8;2021-05-26T18:44:37;2021-05-26T15:20:26;FRENCH
9;2021-05-26T19:36:15;2021-05-27T07:07:41;FRENCH
10;2021-05-26T15:33:13;2021-05-27T08:30:42;FRENCH
